stimulus_number,r_score
1610290,2.323609971099927e-09
2214477,5.358358201590363e-09
1357613,5.594864571634162e-09
2512505,-2.5982862084106273e-08
1087753,-3.167118123315049e-08
36901,-3.9794318951180685e-08
1574865,5.228448429761556e-08
2479301,-5.621107845854567e-08
1048127,-5.8285060333673755e-08
412708,-6.099316607333094e-08
1552218,8.138188434259064e-08
1103574,-8.909154303182731e-08
149478,1.0978347830814528e-07
1759361,1.4647002899437211e-07
969210,-1.5711461287537531e-07
445515,-1.622282468360936e-07
2320291,-1.8628763598371734e-07
958958,1.9043065435653261e-07
2532164,-1.9732945588657458e-07
361238,1.9860213740230392e-07
686135,-2.004966859203705e-07
1209889,-2.0551519241962524e-07
38388,-2.071722917662555e-07
1234031,2.214317476045835e-07
164890,-2.3193508980057231e-07
612687,2.3241346980285016e-07
2606971,-2.4125301933963783e-07
1446652,2.489564963070734e-07
795400,2.509734997602209e-07
1684185,-2.597019488348451e-07
550113,2.598456205760158e-07
1292013,-2.7598144924922963e-07
1718364,-2.9768037279609416e-07
856618,-3.0298525643956964e-07
215842,3.144570257518353e-07
51621,-3.2969103358482243e-07
1389577,3.3669027743599145e-07
878399,-3.6127443081568344e-07
65844,3.6382044754645904e-07
1185352,3.728120816504088e-07
1466671,-3.762415872188285e-07
1804840,3.8984393313512555e-07
1970943,-4.1093883851317514e-07
630665,-4.1209443679690594e-07
28963,4.164229210346093e-07
844345,-4.224547183184768e-07
118947,-4.2465666183488793e-07
519062,4.2705781311269675e-07
96720,4.3503305846570584e-07
1613761,-4.354797624728235e-07
1048214,4.374414572794194e-07
1243678,-4.391596917230345e-07
1335816,-4.430230546859093e-07
740848,4.4577805624612665e-07
1097498,4.5277616322891845e-07
1311302,4.573719820655242e-07
693285,-4.6525821062459727e-07
2142505,-4.808950393453415e-07
6463,4.809213578482741e-07
561696,4.849180754717963e-07
251214,-5.046612159276265e-07
1240947,-5.054969847151369e-07
1990395,-5.066227686256752e-07
716000,5.11957978233113e-07
2549131,-5.247409262665315e-07
370627,-5.400822828960372e-07
767289,5.42356644928077e-07
2084640,5.58138538053754e-07
366295,5.58201861622365e-07
2608479,5.601737029792275e-07
1420283,-5.923379262640083e-07
2013662,6.419996338991041e-07
481768,6.442141398110834e-07
2273240,-6.442849098675651e-07
1943339,6.453621494983963e-07
2461361,-6.505229634967691e-07
563452,-6.505237024612143e-07
2378777,-6.532919201163168e-07
1822447,6.638890113208618e-07
1229898,6.64922538362589e-07
886414,-6.770059712835064e-07
2187165,6.779987984373292e-07
746164,-6.804301619922626e-07
877619,-6.810382728872355e-07
922550,6.891312978041242e-07
314544,6.950486977075343e-07
257435,-7.025117838566075e-07
706218,-7.059873610160139e-07
2082921,-7.432344659719092e-07
180011,7.476382961613126e-07
2307449,-7.485024866582535e-07
1385399,7.663815608793811e-07
623127,-7.75827459165157e-07
1828009,-7.784217359585455e-07
1640620,7.876136578488513e-07
471493,-7.950310987325793e-07
28429,7.959980052874016e-07
2059216,8.049548227972991e-07
1066723,-8.118432788251084e-07
1313463,8.139297733578132e-07
9883,8.142299634528172e-07
962784,-8.192440077436913e-07
943885,-8.199094736482948e-07
2375529,-8.214944955398096e-07
1157281,-8.228924457398534e-07
2038752,-8.289014772344672e-07
526563,8.384645298065152e-07
2201121,8.409384122387564e-07
1870991,8.413455248046375e-07
1317227,8.56773567647906e-07
2003941,-8.766838277551869e-07
557915,-8.849259529597475e-07
1893956,-8.870241003933188e-07
1604557,9.083282748179045e-07
409098,-9.0918075557056e-07
352556,9.270872283195786e-07
2401848,-9.281514508074906e-07
2014206,9.289723266192595e-07
2384691,-9.312412316830887e-07
148558,-9.358572015116806e-07
1264428,-9.361877459923562e-07
31924,-9.384128816236625e-07
1922703,9.496295660937903e-07
501762,9.496953907728312e-07
323970,9.60816464612435e-07
2165682,-9.749024911798188e-07
1548638,9.847440196608659e-07
1724840,-9.991027809519437e-07
1768878,-1.0008297977037728e-06
86819,1.0025723895523697e-06
2228980,1.0176552223128965e-06
1029284,1.0369960818934487e-06
498843,-1.043236011355475e-06
2010410,-1.0463022590556648e-06
2375463,1.0646199370967224e-06
2199012,1.0679495971999131e-06
2365190,1.0703320185712073e-06
700429,1.0721813623604248e-06
1919986,-1.0873662859012256e-06
628558,1.0882355354624451e-06
1151452,-1.0970048833769397e-06
2244326,1.1032736892957473e-06
155900,-1.1144488780701067e-06
166684,-1.1236215868848376e-06
2080343,1.1260593737461022e-06
577519,1.1427448498579906e-06
488377,1.1452931403255207e-06
1386427,-1.1488122027003556e-06
666932,-1.1534170880622696e-06
1669649,1.1615001085374388e-06
647004,1.174239059764659e-06
2144558,1.1889966344824643e-06
1039998,1.2096411410311703e-06
