stimulus_number,r_score
2397325,-2.912273755484307e-09
453272,1.3780934615681417e-08
2323442,-1.7485591641275278e-08
393972,2.173078073042234e-08
2174879,-2.3777451119144644e-08
1034848,4.704967082602707e-08
1023030,-4.9633108289981465e-08
2039927,-5.349106046992347e-08
228379,5.489788890145064e-08
1114529,-5.746016995544778e-08
545356,7.294931947399164e-08
2789163,-8.628694558865391e-08
565330,-9.991871507963879e-08
2579264,1.4074680620979052e-07
2550337,1.4208082177447068e-07
1951999,-1.4248274737838074e-07
247442,1.4635675427143724e-07
1534438,-1.491738288450506e-07
2019423,1.6149840575963026e-07
1609075,-1.839098331402056e-07
770842,1.8983298843977536e-07
1159056,1.9023204345103295e-07
390132,-1.926094768123221e-07
325556,-2.1634247104884707e-07
2246388,-2.255379456528317e-07
1816082,2.288094833602372e-07
513381,2.4566725187469274e-07
391852,-2.4924148078753205e-07
937422,2.512426533485268e-07
851263,-3.009065778769582e-07
1646521,-3.1883396900411753e-07
1602082,3.24209310065271e-07
2121142,3.245849313771032e-07
1906599,-3.3111305697275384e-07
2203449,-3.315195726827369e-07
2141670,-3.4016903782685404e-07
1904710,3.528754746184859e-07
2249098,-3.5480590554470837e-07
2160088,3.5534171161089034e-07
2026300,-3.62218372629286e-07
539526,-3.7683113873754337e-07
2298870,-3.845190690299205e-07
175957,-4.0446806792715506e-07
1528132,-4.170004501702351e-07
499991,-4.197111422854505e-07
1091373,4.24157178713358e-07
9157,4.54018646678378e-07
2352712,-4.601497494149953e-07
2432928,-4.6834819045216136e-07
545160,-4.795703603122092e-07
1797074,4.815048555428803e-07
750557,-4.881400741396646e-07
1190718,4.942764917359455e-07
140410,5.140124130775803e-07
627206,-5.163145146980241e-07
1743596,-5.166705250303494e-07
534497,-5.335572268450051e-07
1558615,5.426829829957569e-07
2648248,5.475239959196188e-07
2484133,5.730733505515673e-07
2851567,5.741220547861303e-07
271805,5.770839379692916e-07
2692222,5.800443432235625e-07
202567,-6.047150122867606e-07
703089,-6.133934107310779e-07
1950299,6.14334680903994e-07
972305,6.154878064990044e-07
755700,6.213954861777893e-07
1021566,6.218579642336408e-07
2716612,6.241780283744447e-07
1402574,6.282917297539825e-07
1761387,6.324102059807046e-07
2007908,-6.380421950780146e-07
1065167,6.392634190888202e-07
1363144,6.411615913748392e-07
1549325,6.719851626257878e-07
1251752,6.826680305493937e-07
2480291,6.83509597365628e-07
2066010,6.851498710602755e-07
1828780,-6.870930064906133e-07
1643416,-7.002935831224022e-07
431619,7.132078394533892e-07
862840,-7.170026492531179e-07
1224608,-7.228336471598595e-07
2249175,-7.241004027491726e-07
1041236,7.389215852526831e-07
1902264,-7.431210633512819e-07
1445794,-7.50576020891458e-07
2705832,7.527761454184656e-07
375057,7.609078807035985e-07
335539,7.835067776795768e-07
2081567,7.936259294183401e-07
487475,-8.033953804442717e-07
162971,-8.244322771133739e-07
1330097,8.293037012663262e-07
964800,-8.293927749036811e-07
1669105,8.310136649924971e-07
2015776,8.574402272643056e-07
1638446,8.588187938585179e-07
2595767,8.627149554740754e-07
1572273,8.681700478518906e-07
826352,8.749073003855301e-07
980859,8.791474783720332e-07
640818,8.930263675210881e-07
1015185,8.944401770349941e-07
967802,8.970825433607388e-07
2444013,-9.020832294481806e-07
1308698,9.027472174238937e-07
2593039,9.080554832507914e-07
1465205,-9.116229762184958e-07
1496976,9.126670192927122e-07
1512364,-9.149786706075247e-07
2238819,9.170672683467274e-07
1441731,9.271529393117817e-07
2402396,-9.347313607577235e-07
1258624,-9.476312925471575e-07
712938,-9.68996346273343e-07
1362448,-1.002075691758364e-06
729570,-1.0195049071626272e-06
72443,1.0299249879608396e-06
1700624,1.0438353683639434e-06
1638865,-1.0445065754538518e-06
629866,1.067703351509408e-06
869733,-1.0810999810928479e-06
558311,1.0895450941461604e-06
276031,1.0906607030847226e-06
1056133,1.0927948324024328e-06
2233228,1.092922161660681e-06
1101472,1.1011615015377174e-06
1467863,-1.1176796306244796e-06
1217742,-1.1186446045030607e-06
2438470,1.124863274526433e-06
2475694,-1.146020736086939e-06
1573241,-1.1590204849198926e-06
1502280,-1.1603099210333312e-06
2193293,-1.1720102293111267e-06
2680036,1.1811947615569807e-06
2618855,-1.1931738299608696e-06
655515,-1.1946646054639132e-06
666146,1.2023989484077902e-06
1245950,-1.2073887774022296e-06
767125,-1.2289408459764672e-06
1305798,-1.260054318663606e-06
2771246,1.2808516203222098e-06
1700808,1.296755954172113e-06
270274,-1.3001374554733047e-06
1838536,1.311916321355966e-06
263185,-1.3191504422138678e-06
24189,1.3200358353060437e-06
2462824,-1.3363483049033675e-06
2376566,1.3424322560240398e-06
647827,1.347556576547504e-06
533187,1.3507434459825163e-06
