stimulus_number,r_score,relative_wav_path
619674,-1.2192889471407398e-06,audio_stimuli\full_sentence\distractors\619674.wav
1062968,-1.1931382459806628e-06,audio_stimuli\full_sentence\distractors\1062968.wav
1949163,-1.1514390507727512e-06,audio_stimuli\full_sentence\distractors\1949163.wav
1765948,-1.0978070577039034e-06,audio_stimuli\full_sentence\distractors\1765948.wav
1138574,-1.0865835520235123e-06,audio_stimuli\full_sentence\distractors\1138574.wav
916896,-1.0611430525386822e-06,audio_stimuli\full_sentence\distractors\916896.wav
570960,-1.0032784985014587e-06,audio_stimuli\full_sentence\distractors\570960.wav
774168,-1.0013670816988451e-06,audio_stimuli\full_sentence\distractors\774168.wav
2435868,-9.840711072683916e-07,audio_stimuli\full_sentence\distractors\2435868.wav
1954881,-9.160170293398551e-07,audio_stimuli\full_sentence\distractors\1954881.wav
2645140,-9.089333730116778e-07,audio_stimuli\full_sentence\distractors\2645140.wav
1152327,-8.289573543152073e-07,audio_stimuli\full_sentence\distractors\1152327.wav
1000406,-7.885146260377951e-07,audio_stimuli\full_sentence\distractors\1000406.wav
2055452,-7.634010898982524e-07,audio_stimuli\full_sentence\distractors\2055452.wav
849220,-7.444577363457938e-07,audio_stimuli\full_sentence\distractors\849220.wav
580527,-6.007030606269836e-07,audio_stimuli\full_sentence\distractors\580527.wav
2442499,-5.939340326222009e-07,audio_stimuli\full_sentence\distractors\2442499.wav
2519752,-5.547763635149749e-07,audio_stimuli\full_sentence\distractors\2519752.wav
1290447,-5.409405048339977e-07,audio_stimuli\full_sentence\distractors\1290447.wav
465942,-5.22528921464982e-07,audio_stimuli\full_sentence\distractors\465942.wav
1014073,-5.177330990591145e-07,audio_stimuli\full_sentence\distractors\1014073.wav
214199,-4.887111231255403e-07,audio_stimuli\full_sentence\distractors\214199.wav
2545267,-4.835006848225021e-07,audio_stimuli\full_sentence\distractors\2545267.wav
973235,-4.768966732626723e-07,audio_stimuli\full_sentence\distractors\973235.wav
643948,-4.2017927626147866e-07,audio_stimuli\full_sentence\distractors\643948.wav
2592507,-3.9510442206847074e-07,audio_stimuli\full_sentence\distractors\2592507.wav
216693,-3.9114496530601173e-07,audio_stimuli\full_sentence\distractors\216693.wav
86062,-3.6434124695006176e-07,audio_stimuli\full_sentence\distractors\86062.wav
1076358,-3.270275783506804e-07,audio_stimuli\full_sentence\distractors\1076358.wav
1139466,-2.7791745083050046e-07,audio_stimuli\full_sentence\distractors\1139466.wav
1749343,-2.1789854542930698e-07,audio_stimuli\full_sentence\distractors\1749343.wav
1567430,-1.7604108393243223e-07,audio_stimuli\full_sentence\distractors\1567430.wav
1580468,-1.6859466711593996e-07,audio_stimuli\full_sentence\distractors\1580468.wav
2331316,-1.6124859314459172e-07,audio_stimuli\full_sentence\distractors\2331316.wav
1178950,-1.3903512297019915e-07,audio_stimuli\full_sentence\distractors\1178950.wav
1503657,-6.603561786278078e-08,audio_stimuli\full_sentence\distractors\1503657.wav
1361628,-6.130608909415969e-08,audio_stimuli\full_sentence\distractors\1361628.wav
1912166,-3.211549071124864e-08,audio_stimuli\full_sentence\distractors\1912166.wav
2343456,1.4807384651760458e-08,audio_stimuli\full_sentence\distractors\2343456.wav
241398,2.0918637488875902e-08,audio_stimuli\full_sentence\distractors\241398.wav
775943,2.994600833972072e-08,audio_stimuli\full_sentence\distractors\775943.wav
1302940,3.2816775075161786e-08,audio_stimuli\full_sentence\distractors\1302940.wav
118094,1.1880604944281004e-07,audio_stimuli\full_sentence\distractors\118094.wav
2165970,1.2216811740017874e-07,audio_stimuli\full_sentence\distractors\2165970.wav
1747611,1.2738573218484817e-07,audio_stimuli\full_sentence\distractors\1747611.wav
1733030,1.3531554543533275e-07,audio_stimuli\full_sentence\distractors\1733030.wav
1401720,1.3672716647761263e-07,audio_stimuli\full_sentence\distractors\1401720.wav
1862397,2.904447455875925e-07,audio_stimuli\full_sentence\distractors\1862397.wav
2585941,4.7380908085870033e-07,audio_stimuli\full_sentence\distractors\2585941.wav
933692,4.768761527884635e-07,audio_stimuli\full_sentence\distractors\933692.wav
875930,4.923582537230686e-07,audio_stimuli\full_sentence\distractors\875930.wav
2662805,5.077953915133548e-07,audio_stimuli\full_sentence\distractors\2662805.wav
998259,5.228091026765469e-07,audio_stimuli\full_sentence\distractors\998259.wav
973536,5.33830871063401e-07,audio_stimuli\full_sentence\distractors\973536.wav
153583,5.454961637951783e-07,audio_stimuli\full_sentence\distractors\153583.wav
688304,5.682373398485652e-07,audio_stimuli\full_sentence\distractors\688304.wav
1278897,6.217466079760925e-07,audio_stimuli\full_sentence\distractors\1278897.wav
452998,6.472752716035757e-07,audio_stimuli\full_sentence\distractors\452998.wav
2040490,6.619688406317437e-07,audio_stimuli\full_sentence\distractors\2040490.wav
308350,6.652279012087092e-07,audio_stimuli\full_sentence\distractors\308350.wav
2162665,6.737710691595566e-07,audio_stimuli\full_sentence\distractors\2162665.wav
897505,7.368007004515675e-07,audio_stimuli\full_sentence\distractors\897505.wav
2032638,8.240538704740175e-07,audio_stimuli\full_sentence\distractors\2032638.wav
2571102,8.463729841423628e-07,audio_stimuli\full_sentence\distractors\2571102.wav
2603822,8.58197608977207e-07,audio_stimuli\full_sentence\distractors\2603822.wav
588575,8.907714459382987e-07,audio_stimuli\full_sentence\distractors\588575.wav
2571448,8.97728511972673e-07,audio_stimuli\full_sentence\distractors\2571448.wav
1625855,8.978552159533137e-07,audio_stimuli\full_sentence\distractors\1625855.wav
435015,9.275645425077528e-07,audio_stimuli\full_sentence\distractors\435015.wav
1612886,9.379456855640456e-07,audio_stimuli\full_sentence\distractors\1612886.wav
2197035,9.395159850100754e-07,audio_stimuli\full_sentence\distractors\2197035.wav
1526750,9.943166787707014e-07,audio_stimuli\full_sentence\distractors\1526750.wav
1901119,1.1542074389581103e-06,audio_stimuli\full_sentence\distractors\1901119.wav
382534,1.1781309012803831e-06,audio_stimuli\full_sentence\distractors\382534.wav
2303707,1.2588592426254763e-06,audio_stimuli\full_sentence\distractors\2303707.wav
