stimulus_number,r_score,relative_wav_path
2268465,0.07026910781860352,audio_stimuli\full_sentence\targets\2268465.wav
724502,0.07027863711118698,audio_stimuli\full_sentence\targets\724502.wav
72718,0.07032789289951324,audio_stimuli\full_sentence\targets\72718.wav
1396675,0.07049600034952164,audio_stimuli\full_sentence\targets\1396675.wav
2037117,0.07052840292453766,audio_stimuli\full_sentence\targets\2037117.wav
1148983,0.07058924436569214,audio_stimuli\full_sentence\targets\1148983.wav
1672317,0.07060393691062927,audio_stimuli\full_sentence\targets\1672317.wav
2250963,0.0706341564655304,audio_stimuli\full_sentence\targets\2250963.wav
48087,0.07063547521829605,audio_stimuli\full_sentence\targets\48087.wav
1002715,0.07069263607263565,audio_stimuli\full_sentence\targets\1002715.wav
2173066,0.0708412155508995,audio_stimuli\full_sentence\targets\2173066.wav
1780711,0.0708581954240799,audio_stimuli\full_sentence\targets\1780711.wav
1564218,0.07117458432912827,audio_stimuli\full_sentence\targets\1564218.wav
2407877,0.07123585045337677,audio_stimuli\full_sentence\targets\2407877.wav
2668101,0.07142239809036255,audio_stimuli\full_sentence\targets\2668101.wav
67786,0.07144621759653091,audio_stimuli\full_sentence\targets\67786.wav
805193,0.07146944105625153,audio_stimuli\full_sentence\targets\805193.wav
1314109,0.07169228047132492,audio_stimuli\full_sentence\targets\1314109.wav
324574,0.07172359526157379,audio_stimuli\full_sentence\targets\324574.wav
1943122,0.07175426185131073,audio_stimuli\full_sentence\targets\1943122.wav
704068,0.0717681348323822,audio_stimuli\full_sentence\targets\704068.wav
1768710,0.07182415574789047,audio_stimuli\full_sentence\targets\1768710.wav
529876,0.07197973877191544,audio_stimuli\full_sentence\targets\529876.wav
1632867,0.07210217416286469,audio_stimuli\full_sentence\targets\1632867.wav
2125045,0.07215923815965652,audio_stimuli\full_sentence\targets\2125045.wav
1308189,0.07222861051559448,audio_stimuli\full_sentence\targets\1308189.wav
225829,0.07234750688076019,audio_stimuli\full_sentence\targets\225829.wav
1069192,0.0723976343870163,audio_stimuli\full_sentence\targets\1069192.wav
2248819,0.07256047427654266,audio_stimuli\full_sentence\targets\2248819.wav
1694868,0.07260703295469284,audio_stimuli\full_sentence\targets\1694868.wav
1235079,0.0726194977760315,audio_stimuli\full_sentence\targets\1235079.wav
252670,0.07262536138296127,audio_stimuli\full_sentence\targets\252670.wav
697077,0.07269484549760818,audio_stimuli\full_sentence\targets\697077.wav
1220120,0.0728803277015686,audio_stimuli\full_sentence\targets\1220120.wav
85516,0.07296913862228394,audio_stimuli\full_sentence\targets\85516.wav
2556813,0.07297036051750183,audio_stimuli\full_sentence\targets\2556813.wav
1757323,0.07313060015439987,audio_stimuli\full_sentence\targets\1757323.wav
1368473,0.073281429708004,audio_stimuli\full_sentence\targets\1368473.wav
315041,0.07347351312637329,audio_stimuli\full_sentence\targets\315041.wav
1007002,0.07352203130722046,audio_stimuli\full_sentence\targets\1007002.wav
2095380,0.07356271892786026,audio_stimuli\full_sentence\targets\2095380.wav
2486777,0.07373756170272827,audio_stimuli\full_sentence\targets\2486777.wav
1369040,0.0738285630941391,audio_stimuli\full_sentence\targets\1369040.wav
858679,0.07391368597745895,audio_stimuli\full_sentence\targets\858679.wav
2507308,0.07397966086864471,audio_stimuli\full_sentence\targets\2507308.wav
2032924,0.07411336153745651,audio_stimuli\full_sentence\targets\2032924.wav
1177965,0.07423997670412064,audio_stimuli\full_sentence\targets\1177965.wav
2030779,0.07435725629329681,audio_stimuli\full_sentence\targets\2030779.wav
976377,0.07470282912254333,audio_stimuli\full_sentence\targets\976377.wav
1686841,0.07488769292831421,audio_stimuli\full_sentence\targets\1686841.wav
1576749,0.07503318041563034,audio_stimuli\full_sentence\targets\1576749.wav
1737127,0.07510720193386078,audio_stimuli\full_sentence\targets\1737127.wav
1468797,0.07526130229234695,audio_stimuli\full_sentence\targets\1468797.wav
2020721,0.07571566849946976,audio_stimuli\full_sentence\targets\2020721.wav
2328515,0.0758495032787323,audio_stimuli\full_sentence\targets\2328515.wav
2568350,0.07647093385457993,audio_stimuli\full_sentence\targets\2568350.wav
1410888,0.076694056391716,audio_stimuli\full_sentence\targets\1410888.wav
1040303,0.07685337215662003,audio_stimuli\full_sentence\targets\1040303.wav
1446661,0.07694084197282791,audio_stimuli\full_sentence\targets\1446661.wav
1170693,0.07698439806699753,audio_stimuli\full_sentence\targets\1170693.wav
1385823,0.07705172151327133,audio_stimuli\full_sentence\targets\1385823.wav
921589,0.07733330875635147,audio_stimuli\full_sentence\targets\921589.wav
2459887,0.07759790122509003,audio_stimuli\full_sentence\targets\2459887.wav
1552782,0.07768601179122925,audio_stimuli\full_sentence\targets\1552782.wav
1692368,0.07802672684192657,audio_stimuli\full_sentence\targets\1692368.wav
2131216,0.07809408754110336,audio_stimuli\full_sentence\targets\2131216.wav
2529981,0.07978836447000504,audio_stimuli\full_sentence\targets\2529981.wav
2046163,0.08003701269626617,audio_stimuli\full_sentence\targets\2046163.wav
601251,0.08080615848302841,audio_stimuli\full_sentence\targets\601251.wav
2420459,0.0810299888253212,audio_stimuli\full_sentence\targets\2420459.wav
15751,0.08138424903154373,audio_stimuli\full_sentence\targets\15751.wav
524646,0.08254464715719223,audio_stimuli\full_sentence\targets\524646.wav
242742,0.08282976597547531,audio_stimuli\full_sentence\targets\242742.wav
2314249,0.08390473574399948,audio_stimuli\full_sentence\targets\2314249.wav
1946951,0.09758197516202927,audio_stimuli\full_sentence\targets\1946951.wav
