stimulus_number,r_score,relative_wav_path
2482255,0.07023528963327408,audio_stimuli\imagined_sentence\targets\2482255.wav
2330572,0.07030460238456726,audio_stimuli\imagined_sentence\targets\2330572.wav
772773,0.07034159451723099,audio_stimuli\imagined_sentence\targets\772773.wav
171065,0.07034268230199814,audio_stimuli\imagined_sentence\targets\171065.wav
264224,0.0704197809100151,audio_stimuli\imagined_sentence\targets\264224.wav
213375,0.07043539732694626,audio_stimuli\imagined_sentence\targets\213375.wav
1830576,0.07045803964138031,audio_stimuli\imagined_sentence\targets\1830576.wav
2156972,0.07056175917387009,audio_stimuli\imagined_sentence\targets\2156972.wav
1981621,0.07058564573526382,audio_stimuli\imagined_sentence\targets\1981621.wav
256899,0.07060601562261581,audio_stimuli\imagined_sentence\targets\256899.wav
618560,0.07069893926382065,audio_stimuli\imagined_sentence\targets\618560.wav
1920662,0.07077845185995102,audio_stimuli\imagined_sentence\targets\1920662.wav
1216735,0.07077882438898087,audio_stimuli\imagined_sentence\targets\1216735.wav
864187,0.07083061337471008,audio_stimuli\imagined_sentence\targets\864187.wav
2121566,0.07090185582637787,audio_stimuli\imagined_sentence\targets\2121566.wav
2207873,0.07091894000768661,audio_stimuli\imagined_sentence\targets\2207873.wav
157670,0.07093950361013412,audio_stimuli\imagined_sentence\targets\157670.wav
2567211,0.07098150253295898,audio_stimuli\imagined_sentence\targets\2567211.wav
732614,0.07103553414344788,audio_stimuli\imagined_sentence\targets\732614.wav
1079860,0.07110071927309036,audio_stimuli\imagined_sentence\targets\1079860.wav
311427,0.0712122991681099,audio_stimuli\imagined_sentence\targets\311427.wav
2189311,0.0712709128856659,audio_stimuli\imagined_sentence\targets\2189311.wav
1718255,0.07143278419971466,audio_stimuli\imagined_sentence\targets\1718255.wav
2127980,0.07153067737817764,audio_stimuli\imagined_sentence\targets\2127980.wav
1166550,0.07155158370733261,audio_stimuli\imagined_sentence\targets\1166550.wav
2271093,0.07159457355737686,audio_stimuli\imagined_sentence\targets\2271093.wav
978518,0.07162577658891678,audio_stimuli\imagined_sentence\targets\978518.wav
1726976,0.0716438889503479,audio_stimuli\imagined_sentence\targets\1726976.wav
1882299,0.07166937738656998,audio_stimuli\imagined_sentence\targets\1882299.wav
620096,0.07177422195672989,audio_stimuli\imagined_sentence\targets\620096.wav
2012857,0.07178830355405807,audio_stimuli\imagined_sentence\targets\2012857.wav
1965702,0.07180297374725342,audio_stimuli\imagined_sentence\targets\1965702.wav
1912657,0.07189061492681503,audio_stimuli\imagined_sentence\targets\1912657.wav
380883,0.07189572602510452,audio_stimuli\imagined_sentence\targets\380883.wav
956977,0.0720394104719162,audio_stimuli\imagined_sentence\targets\956977.wav
1237535,0.07252559065818787,audio_stimuli\imagined_sentence\targets\1237535.wav
1013538,0.0728779211640358,audio_stimuli\imagined_sentence\targets\1013538.wav
505785,0.07322130352258682,audio_stimuli\imagined_sentence\targets\505785.wav
727576,0.073512002825737,audio_stimuli\imagined_sentence\targets\727576.wav
862793,0.07370137423276901,audio_stimuli\imagined_sentence\targets\862793.wav
1157557,0.0741376057267189,audio_stimuli\imagined_sentence\targets\1157557.wav
386161,0.07418666779994965,audio_stimuli\imagined_sentence\targets\386161.wav
1760280,0.07432106137275696,audio_stimuli\imagined_sentence\targets\1760280.wav
110205,0.07442992180585861,audio_stimuli\imagined_sentence\targets\110205.wav
1430320,0.07446438819169998,audio_stimuli\imagined_sentence\targets\1430320.wav
1417030,0.07456477731466293,audio_stimuli\imagined_sentence\targets\1417030.wav
1946866,0.07482586801052094,audio_stimuli\imagined_sentence\targets\1946866.wav
2176600,0.0751068964600563,audio_stimuli\imagined_sentence\targets\2176600.wav
1942444,0.07528027892112732,audio_stimuli\imagined_sentence\targets\1942444.wav
2101592,0.07533594220876694,audio_stimuli\imagined_sentence\targets\2101592.wav
1608005,0.07550057023763657,audio_stimuli\imagined_sentence\targets\1608005.wav
2627859,0.07550919055938721,audio_stimuli\imagined_sentence\targets\2627859.wav
1633009,0.0756288543343544,audio_stimuli\imagined_sentence\targets\1633009.wav
317452,0.07576674968004227,audio_stimuli\imagined_sentence\targets\317452.wav
716166,0.07577542960643768,audio_stimuli\imagined_sentence\targets\716166.wav
2093103,0.07611564546823502,audio_stimuli\imagined_sentence\targets\2093103.wav
2467821,0.07645803689956665,audio_stimuli\imagined_sentence\targets\2467821.wav
534656,0.07660482078790665,audio_stimuli\imagined_sentence\targets\534656.wav
1429891,0.0770573765039444,audio_stimuli\imagined_sentence\targets\1429891.wav
1387781,0.0772407129406929,audio_stimuli\imagined_sentence\targets\1387781.wav
610508,0.07778888195753098,audio_stimuli\imagined_sentence\targets\610508.wav
698529,0.07811345160007477,audio_stimuli\imagined_sentence\targets\698529.wav
251129,0.07854294776916504,audio_stimuli\imagined_sentence\targets\251129.wav
553586,0.0796934962272644,audio_stimuli\imagined_sentence\targets\553586.wav
2100418,0.07971248775720596,audio_stimuli\imagined_sentence\targets\2100418.wav
182139,0.0797685980796814,audio_stimuli\imagined_sentence\targets\182139.wav
2027923,0.0801616981625557,audio_stimuli\imagined_sentence\targets\2027923.wav
1512997,0.081847183406353,audio_stimuli\imagined_sentence\targets\1512997.wav
706610,0.08214734494686127,audio_stimuli\imagined_sentence\targets\706610.wav
1678043,0.08215151727199554,audio_stimuli\imagined_sentence\targets\1678043.wav
203171,0.08293025940656662,audio_stimuli\imagined_sentence\targets\203171.wav
720539,0.08344561606645584,audio_stimuli\imagined_sentence\targets\720539.wav
1612139,0.08426357805728912,audio_stimuli\imagined_sentence\targets\1612139.wav
2000562,0.08452535420656204,audio_stimuli\imagined_sentence\targets\2000562.wav
2208596,0.09153787791728973,audio_stimuli\imagined_sentence\targets\2208596.wav
