stimulus_number,r_score
2312744,0.0
186756,-6.126299467723584e-09
2191561,1.6741440234113725e-08
2607792,-2.2485409090222674e-08
657791,-2.7165073746004964e-08
2679978,3.6748787124452065e-08
2066445,3.9061326617684244e-08
1829774,-4.371073458742103e-08
1775872,-4.8574847255622444e-08
1505819,5.859950391595703e-08
2086538,7.30818356942109e-08
1456181,-8.056096589825756e-08
1169820,9.497718878037631e-08
2659535,-1.08455381564454e-07
856710,-1.0953446150097079e-07
1162901,-1.1548790723736602e-07
321450,1.1766552887593207e-07
2319771,1.1796630872140668e-07
1263340,-1.2802014737189893e-07
2837483,-1.2881804423159338e-07
1975658,1.5987014023721713e-07
1623934,1.601497956471576e-07
2425168,-1.6228102595050586e-07
463620,-1.7663151652413944e-07
931066,1.8519889977142157e-07
828490,-1.98461520994897e-07
835103,2.0144761947449297e-07
400241,-2.0187815152894473e-07
834345,-2.087118957661005e-07
1981644,-2.194021959667225e-07
1814683,2.399065976987913e-07
478924,-2.4723482283661724e-07
753988,-2.668408569661551e-07
2375402,2.7364569632482016e-07
2676198,-2.7501562271936564e-07
1395715,2.8685377628789865e-07
1939146,-2.9889073971389735e-07
2676152,-3.0861369282320084e-07
517496,-3.1848512094256876e-07
2436543,3.2650990533511504e-07
1141274,-3.5233145467827853e-07
117680,3.5496910300025775e-07
926250,-3.56725252004253e-07
907429,-3.7248690887281555e-07
1539476,-3.7681337516914937e-07
2857519,3.930984178168728e-07
2982907,-4.0237924281427695e-07
717639,4.118106176065339e-07
2570173,4.160085893545329e-07
69852,4.192191056517913e-07
593130,-4.200299486001313e-07
2834353,4.222416691845865e-07
620882,-4.470743704132474e-07
1055268,4.595181906097423e-07
2292816,4.5957779093441786e-07
268068,4.644759030725254e-07
2330388,-4.731768683541304e-07
718114,4.849816832575016e-07
996564,4.988921773474431e-07
1703383,5.003507226319925e-07
2317299,-5.077474156678363e-07
207375,-5.117711339153175e-07
598575,5.165064180800982e-07
586741,5.204341846365423e-07
984802,5.256067083792004e-07
311141,5.348788363335188e-07
206864,5.444625230666134e-07
1075902,5.453931066767836e-07
271954,-5.508274512067146e-07
422306,-5.53867266717134e-07
2966365,-5.801123847959389e-07
1406053,-6.008366426613065e-07
2770771,-6.361613600347482e-07
2165942,-6.524331297441677e-07
843847,-6.831646146565618e-07
982844,6.859590939711779e-07
1063587,7.108623094609356e-07
2283728,7.145880545067484e-07
2844821,-7.31235502371419e-07
622698,-7.338182967941975e-07
863484,-7.361714438047784e-07
1102428,7.593533268845931e-07
899896,-7.621542863489594e-07
1712057,-7.639826549166173e-07
728063,7.755038495815825e-07
963807,7.767347369735944e-07
2921253,-7.813172260284773e-07
576237,-7.822858947292843e-07
2327938,-7.87631734056049e-07
1128725,7.890980100455636e-07
1783096,-7.91140166711557e-07
2958680,7.936947667985805e-07
1710765,-7.975749554134381e-07
1321989,-7.994455017978908e-07
2488192,8.075569439824903e-07
133518,8.173665833055566e-07
2543139,-8.204856953852868e-07
2761946,8.211391104850918e-07
1537348,8.263170911959605e-07
70234,-8.313357398037624e-07
1463725,8.323192446368921e-07
1040056,-8.369119086637511e-07
1454379,-8.697813882463379e-07
2925044,8.699690852154163e-07
1081230,8.781255473877536e-07
2429195,8.862706408763188e-07
931949,8.864146252562932e-07
2575235,-8.898568921722472e-07
846402,8.922038432501722e-07
1424767,8.945349350142351e-07
2627221,-8.967804774329124e-07
2934217,-9.047327580447018e-07
46950,-9.101680120693345e-07
344131,9.218049967785191e-07
1021716,-9.380893288835068e-07
2774546,-9.452611493543372e-07
1796355,-9.495670951764623e-07
2116071,9.540302698951564e-07
2935040,9.559850013829418e-07
2179948,-9.775916396392859e-07
2939207,9.850145943346433e-07
1832407,-9.997950201068306e-07
102562,1.0048225931313937e-06
1318660,-1.0086866950587137e-06
2218702,1.0108035439770902e-06
1700638,-1.0170332416237216e-06
1027212,1.0495045899006072e-06
124821,1.056534983945312e-06
1046878,1.0725917718445999e-06
883200,1.0726369055191753e-06
915032,-1.0875742191274185e-06
216961,1.0890715884670499e-06
2606952,-1.091213107429212e-06
374012,1.1051504316128558e-06
172727,-1.1076676855736878e-06
1707510,1.10809969555703e-06
545587,1.1156215578012052e-06
1719545,1.1199523441973724e-06
1409002,-1.124537448049523e-06
705187,-1.14519536964508e-06
307658,-1.147425564340665e-06
2893741,1.154375809164776e-06
1610159,-1.1696286037476966e-06
714392,1.1755786317735328e-06
1515349,-1.1758507980630384e-06
826027,1.1776015753639513e-06
2315710,1.2071639048372163e-06
1576423,1.215032739310118e-06
716705,-1.2208355428811046e-06
385374,1.236821049133141e-06
62057,1.2398779745126376e-06
309029,1.241390009454335e-06
2956218,1.2649278460230562e-06
